table_name,phase1_role,phenotype_domain,coverage_readiness_status,json_keys_found,most_important_keys,keys_needed_for_phase1_features,interpretation_summary,data_quality_concerns,recommended_feature_priority,proceed_to_extraction
screen,core_phenotype,phone_usage,high_priority_feature_candidate,device_id;screen_status;timestamp,screen_status;timestamp;device_id,screen_status;timestamp,Screen interaction/state events; proxy for phone engagement timing.,Screen state semantics can vary by OS/device; not equal to active cognition.,high,yes
applications_foreground,core_phenotype,phone_usage/app_use,high_priority_feature_candidate,application_name;device_id;is_system_app;package_name;timestamp,package_name;application_name;timestamp,timestamp,Foreground app events; proxy for app-use behavior and routine.,Foreground does not equal intentional use; system/app noise present.,high,yes
keyboard,core_phenotype,phone_interaction,high_priority_feature_candidate,before_text;current_text;device_id;is_password;package_name;timestamp,timestamp;current_text;before_text;is_password,timestamp,Keyboard interactions; proxy for active text input behavior.,Keyboard provider/settings affect logs; privacy-safe aggregation only.,high,yes
touch,core_phenotype,phone_interaction,baseline_only_candidate,device_id;scroll_from_index;scroll_items;scroll_to_index;timestamp;touch_action;touch_action_text;touch_app,timestamp;touch_action;touch_app,timestamp,Touch interactions; broad proxy for phone interaction volume.,Touch event granularity differs across devices/apps.,high,yes
plugin_google_activity_recognition,core_phenotype,activity_pattern,high_priority_feature_candidate,activities;activity_name;activity_type;confidence;device_id;timestamp,activity_type;activity_name;activities;timestamp,timestamp;activity_type;activity_name;activities,Model-derived physical activity states over time.,Activity labels are classifier outputs and device/model dependent.,high,yes
gsm,optional_context,cellular_context/mobility_proxy,baseline_only_candidate,bit_error_rate;cid;device_id;lac;psc;signal_strength;timestamp,timestamp;cid;lac;psc;signal_strength,timestamp,Cellular context and tower-level mobility proxy.,Network infrastructure differences can bias comparability.,medium,yes
gsm_neighbor,optional_context,cellular_context/mobility_proxy,baseline_only_candidate,cid;device_id;lac;psc;signal_strength;timestamp,timestamp;cid;lac;psc;signal_strength,timestamp,Cellular context and tower-level mobility proxy.,Network infrastructure differences can bias comparability.,medium,yes
telephony,optional_context,social_communication,baseline_only_candidate,data_enabled;device_id;imei_meid_esn;line_number;network_country_iso_mcc;network_operator_code;network_operator_name;network_type;phone_type;sim_operator_code;sim_operator_name;sim_serial;sim_state;software_version;subscriber_id;timestamp,timestamp;network_type;sim_state;phone_type,timestamp,"Telephony/network state context, not direct behavior alone.",More state than action; combine with behavioral tables.,medium,yes
messages,optional_context,social_communication,limited_candidate,device_id;message_type;timestamp;trace,timestamp;message_type;trace,timestamp,Messaging events; proxy for social communication activity.,Sparse coverage in current top10; direction/type may be limited.,low,yes
aware_log,data_quality_denominator,data_quality/system_log,high_priority_feature_candidate,device_id;log_message;timestamp,timestamp;log_message,timestamp;log_message,System/data-sync logs used as denominator and quality flag source.,Not a phenotype endpoint; interpret only as data quality context.,high,yes
