table_name,table_exists,has_device_id,has_timestamp,has_data,n_columns,metadata_estimated_rows,data_length_bytes,index_length_bytes,total_size_bytes,total_size_gb,create_time,update_time,metadata_status,error_message
accelerometer,True,True,True,True,4,3899894130,1298857459712,375942774784,1674800234496,1559.779,2025-01-05 17:05:40,,ok,
aware_log,True,True,True,True,4,55294231,13393461248,5894881280,19288342528,17.964,2024-12-10 09:07:57,2026-07-07 09:57:00,ok,
barometer,True,True,True,True,4,25763375,6063915008,2016411648,8080326656,7.525,2025-05-23 12:08:17,,ok,
gravity,True,True,True,True,4,3753710868,1250503426048,374602711040,1625106137088,1513.498,2025-01-05 17:05:40,2026-07-02 09:11:50,ok,
gyroscope,True,True,True,True,4,3758319628,1252167516160,373608644608,1625776160768,1514.122,2025-01-05 17:05:40,,ok,
light,True,True,True,True,4,813603017,196908941312,76824936448,273733877760,254.935,2024-12-10 09:07:57,2026-07-02 07:09:26,ok,
linear_accelerometer,True,True,True,True,4,539755483,170115727360,52018806784,222134534144,206.879,2025-04-29 11:10:45,2026-07-02 09:11:49,ok,
magnetometer,True,True,True,True,4,346894235,107297636352,34169946112,141467582464,131.752,2025-04-29 11:10:45,2026-01-25 18:30:18,ok,
proximity,True,True,True,True,4,106477139,23154655232,7209992192,30364647424,28.279,2025-01-05 17:05:40,2026-06-24 12:11:34,ok,
rotation,True,True,True,True,4,3833338250,1362406408192,373395783680,1735802191872,1616.592,2025-01-05 17:05:40,2026-07-05 04:58:52,ok,
